Alarm_Clock	Alarm_Clock.txt	N=10	kind=alarm_clock
Backpack	Backpack.txt	N=10	kind=backpack
Batteries	Batteries.txt	N=10	kind=batteries
Bed	Bed.txt	N=10	kind=bed
Bike	Bike.txt	N=10	kind=bicycle
Bottle	Bottle.txt	N=10	kind=bottle
Bucket	Bucket.txt	N=10	kind=bucket
Calculator	Calculator.txt	N=10	kind=calculator
Calendar	Calendar.txt	N=10	kind=calendar
Candles	Candles.txt	N=10	kind=candles
Chair	Chair.txt	N=10	kind=chair
Clipboards	Clipboards.txt	N=10	kind=binder
Computer	Computer.txt	N=10	kind=desktop_computer
Couch	Couch.txt	N=10	kind=couch
Curtains	Curtains.txt	N=10	kind=curtains
Desk_Lamp	Desk_Lamp.txt	N=10	kind=desk_lamp
Drill	Drill.txt	N=10	kind=drill
Eraser	Eraser.txt	N=10	kind=eraser
Exit_Sign	Exit_Sign.txt	N=10	kind=exit_sign
Fan	Fan.txt	N=10	kind=fan
File_Cabinet	File_Cabinet.txt	N=10	kind=file_cabinet
Flipflops	Flipflops.txt	N=10	kind=flipflops
Flowers	Flowers.txt	N=10	kind=flowers
Folder	Folder.txt	N=10	kind=folder
Fork	Fork.txt	N=10	kind=fork
Glasses	Glasses.txt	N=10	kind=glasses
Hammer	Hammer.txt	N=10	kind=hammer
Helmet	Helmet.txt	N=10	kind=helmet
Kettle	Kettle.txt	N=10	kind=kettle
Keyboard	Keyboard.txt	N=10	kind=keyboard
Knives	Knives.txt	N=10	kind=knife
Lamp_Shade	Lamp_Shade.txt	N=10	kind=lamp_shade
Laptop	Laptop.txt	N=10	kind=laptop
Marker	Marker.txt	N=10	kind=marker
Monitor	Monitor.txt	N=10	kind=monitor
Mop	Mop.txt	N=10	kind=mop
Mouse	Mouse.txt	N=10	kind=mouse
Mug	Mug.txt	N=10	kind=mug
Notebook	Notebook.txt	N=10	kind=notebook
Oven	Oven.txt	N=10	kind=oven
Pan	Pan.txt	N=10	kind=pan
Paper_Clip	Paper_Clip.txt	N=10	kind=paper_clip
Pen	Pen.txt	N=10	kind=pen
Pencil	Pencil.txt	N=10	kind=pencil
Postit_Notes	Postit_Notes.txt	N=10	kind=sticky_notes
Printer	Printer.txt	N=10	kind=printer
Push_Pin	Push_Pin.txt	N=10	kind=push_pin
Radio	Radio.txt	N=10	kind=radio
Refrigerator	Refrigerator.txt	N=10	kind=refrigerator
Ruler	Ruler.txt	N=10	kind=ruler
Scissors	Scissors.txt	N=10	kind=scissors
Screwdriver	Screwdriver.txt	N=10	kind=screwdriver
Shelf	Shelf.txt	N=10	kind=shelf
Sink	Sink.txt	N=10	kind=sink
Sneakers	Sneakers.txt	N=10	kind=sneakers
Soda	Soda.txt	N=10	kind=soda
Speaker	Speaker.txt	N=10	kind=speaker
Spoon	Spoon.txt	N=10	kind=spoon
TV	TV.txt	N=10	kind=tv
Table	Table.txt	N=10	kind=table
Telephone	Telephone.txt	N=10	kind=desk_phone
ToothBrush	ToothBrush.txt	N=10	kind=toothbrush
Toys	Toys.txt	N=10	kind=toys
Trash_Can	Trash_Can.txt	N=10	kind=trash_can
Webcam	Webcam.txt	N=10	kind=webcam
