n01443537	goldfish	n01443537.txt	N=10
n01629819	European fire salamander	n01629819.txt	N=10
n01641577	bullfrog	n01641577.txt	N=10
n01644900	tailed frog	n01644900.txt	N=10
n01698640	American alligator	n01698640.txt	N=10
n01742172	boa constrictor	n01742172.txt	N=10
n01768244	trilobite	n01768244.txt	N=10
n01770393	scorpion	n01770393.txt	N=10
n01774384	black widow	n01774384.txt	N=10
n01774750	tarantula	n01774750.txt	N=10
n01784675	centipede	n01784675.txt	N=10
n01855672	goose	n01855672.txt	N=10
n01882714	koala	n01882714.txt	N=10
n01910747	jellyfish	n01910747.txt	N=10
n01917289	brain coral	n01917289.txt	N=10
n01944390	snail	n01944390.txt	N=10
n01945685	slug	n01945685.txt	N=10
n01950731	sea slug	n01950731.txt	N=10
n01983481	American lobster	n01983481.txt	N=10
n01984695	spiny lobster	n01984695.txt	N=10
n02002724	black stork	n02002724.txt	N=10
n02056570	king penguin	n02056570.txt	N=10
n02058221	albatross	n02058221.txt	N=10
n02074367	dugong	n02074367.txt	N=10
n02085620	Chihuahua	n02085620.txt	N=10
n02094433	Yorkshire terrier	n02094433.txt	N=10
n02099601	golden retriever	n02099601.txt	N=10
n02099712	Labrador retriever	n02099712.txt	N=10
n02106662	German shepherd	n02106662.txt	N=10
n02113799	standard poodle	n02113799.txt	N=10
n02123045	tabby	n02123045.txt	N=10
n02123394	Persian cat	n02123394.txt	N=10
n02124075	Egyptian cat	n02124075.txt	N=10
n02125311	cougar	n02125311.txt	N=10
n02129165	lion	n02129165.txt	N=10
n02132136	brown bear	n02132136.txt	N=10
n02165456	ladybug	n02165456.txt	N=10
n02190166	fly	n02190166.txt	N=10
n02206856	bee	n02206856.txt	N=10
n02226429	grasshopper	n02226429.txt	N=10
n02231487	walking stick	n02231487.txt	N=10
n02233338	cockroach	n02233338.txt	N=10
n02236044	mantis	n02236044.txt	N=10
n02268443	dragonfly	n02268443.txt	N=10
n02279972	monarch	n02279972.txt	N=10
n02281406	sulphur butterfly	n02281406.txt	N=10
n02321529	sea cucumber	n02321529.txt	N=10
n02364673	guinea pig	n02364673.txt	N=10
n02395406	hog	n02395406.txt	N=10
n02403003	ox	n02403003.txt	N=10
n02410509	bison	n02410509.txt	N=10
n02415577	bighorn	n02415577.txt	N=10
n02423022	gazelle	n02423022.txt	N=10
n02437312	Arabian camel	n02437312.txt	N=10
n02480495	orangutan	n02480495.txt	N=10
n02481823	chimpanzee	n02481823.txt	N=10
n02486410	baboon	n02486410.txt	N=10
n02504458	African elephant	n02504458.txt	N=10
n02509815	lesser panda	n02509815.txt	N=10
n02666196	abacus	n02666196.txt	N=10
n02669723	academic gown	n02669723.txt	N=10
n02699494	altar	n02699494.txt	N=10
n02730930	apron	n02730930.txt	N=10
n02769748	backpack	n02769748.txt	N=10
n02788148	bannister	n02788148.txt	N=10
n02791270	barbershop	n02791270.txt	N=10
n02793495	barn	n02793495.txt	N=10
n02795169	barrel	n02795169.txt	N=10
n02802426	basketball	n02802426.txt	N=10
n02808440	bathtub	n02808440.txt	N=10
n02814533	beach wagon	n02814533.txt	N=10
n02814860	beacon	n02814860.txt	N=10
n02815834	beaker	n02815834.txt	N=10
n02823428	beer bottle	n02823428.txt	N=10
n02837789	bikini	n02837789.txt	N=10
n02841315	binoculars	n02841315.txt	N=10
n02843684	birdhouse	n02843684.txt	N=10
n02883205	bow tie	n02883205.txt	N=10
n02892201	brass	n02892201.txt	N=10
n02906734	broom	n02906734.txt	N=10
n02909870	bucket	n02909870.txt	N=10
n02917067	bullet train	n02917067.txt	N=10
n02927161	butcher shop	n02927161.txt	N=10
n02948072	candle	n02948072.txt	N=10
n02950826	cannon	n02950826.txt	N=10
n02963159	cardigan	n02963159.txt	N=10
n02977058	cash machine	n02977058.txt	N=10
