Abdominal Axial View Ultrasound	Abdominal Axial View Ultrasound	Abdominal_Axial_View_Ultrasound.txt	N=10	words=[34,37]
Abdominal Circumference Ultrasound	Abdominal Circumference Ultrasound	Abdominal_Circumference_Ultrasound.txt	N=10	words=[35,39]
Bladder View Ultrasound	Bladder View Ultrasound	Bladder_View_Ultrasound.txt	N=10	words=[35,38]
Cerebellum View Ultrasound	Cerebellum View Ultrasound	Cerebellum_View_Ultrasound.txt	N=10	words=[30,35]
Crown Rump Length Ultrasound	Crown Rump Length Ultrasound	Crown_Rump_Length_Ultrasound.txt	N=10	words=[35,40]
Eye Orbit View Ultrasound	Eye Orbit View Ultrasound	Eye_Orbit_View_Ultrasound.txt	N=10	words=[33,39]
Femur Length Ultrasound	Femur Length Ultrasound	Femur_Length_Ultrasound.txt	N=10	words=[34,38]
Kidney View Ultrasound	Kidney View Ultrasound	Kidney_View_Ultrasound.txt	N=10	words=[31,37]
Left Ventricular Outflow Tract Ultrasound	Left Ventricular Outflow Tract Ultrasound	Left_Ventricular_Outflow_Tract_Ultrasound.txt	N=10	words=[36,40]
Nuchal Translucency Ultrasound	Nuchal Translucency Ultrasound	Nuchal_Translucency_Ultrasound.txt	N=10	words=[35,40]
Right Ventricular Outflow Tract Ultrasound	Right Ventricular Outflow Tract Ultrasound	Right_Ventricular_Outflow_Tract_Ultrasound.txt	N=10	words=[35,40]
Side Face View Ultrasound	Side Face View Ultrasound	Side_Face_View_Ultrasound.txt	N=10	words=[35,40]
Three Vessel View Ultrasound	Three Vessel View Ultrasound	Three_Vessel_View_Ultrasound.txt	N=10	words=[33,40]
